steering,speed,basereward,reward
0,0.8,1,0.5743491774985175
0,1.0,1,0.6597539553864471
0,1.2,1,0.757858283255199
0,1.4,1,0.8705505632961241
0,1.6,1,1.0
0,1.8,1,1.148698354997035
0,2.0,1,1.3195079107728942
0,2.2,1,1.5157165665103982
0,2.4,1,1.7411011265922482
0,2.6,1,2.0
0,2.8,1,0.0
0,3.0,1,0.0
0,3.2,1,0.0
0,3.4,1,0.0
0,3.6,1,0.0
0,3.8,1,0.0
0,4.0,1,0.0
1,0.8,1,0.6155722066724582
1,1.0,1,0.7071067811865475
1,1.2,1,0.8122523963562355
1,1.4,1,0.9330329915368074
1,1.6,1,1.0717734625362931
1,1.8,1,1.2311444133449163
1,2.0,1,1.414213562373095
1,2.2,1,1.6245047927124714
1,2.4,1,1.8660659830736148
1,2.6,1,1.8660659830736148
1,2.8,1,0.0
1,3.0,1,0.0
1,3.2,1,0.0
1,3.4,1,0.0
1,3.6,1,0.0
1,3.8,1,0.0
1,4.0,1,0.0
2,0.8,1,0.6597539553864472
2,1.0,1,0.7578582832551991
2,1.2,1,0.8705505632961242
2,1.4,1,1.0
2,1.6,1,1.148698354997035
2,1.8,1,1.3195079107728944
2,2.0,1,1.5157165665103982
2,2.2,1,1.7411011265922485
2,2.4,1,2.0
2,2.6,1,1.7411011265922482
2,2.8,1,0.0
2,3.0,1,0.0
2,3.2,1,0.0
2,3.4,1,0.0
2,3.6,1,0.0
2,3.8,1,0.0
2,4.0,1,0.0
3,0.8,1,0.7071067811865476
3,1.0,1,0.8122523963562357
3,1.2,1,0.9330329915368074
3,1.4,1,1.0717734625362931
3,1.6,1,1.2311444133449165
3,1.8,1,1.4142135623730951
3,2.0,1,1.6245047927124714
3,2.2,1,1.8660659830736153
3,2.4,1,1.8660659830736148
3,2.6,1,1.6245047927124707
3,2.8,1,0.0
3,3.0,1,0.0
3,3.2,1,0.0
3,3.4,1,0.0
3,3.6,1,0.0
3,3.8,1,0.0
3,4.0,1,0.0
4,0.8,1,0.757858283255199
4,1.0,1,0.8705505632961241
4,1.2,1,0.9999999999999998
4,1.4,1,1.1486983549970347
4,1.6,1,1.3195079107728942
4,1.8,1,1.515716566510398
4,2.0,1,1.7411011265922482
4,2.2,1,2.0
4,2.4,1,1.7411011265922485
4,2.6,1,1.5157165665103982
4,2.8,1,0.0
4,3.0,1,0.0
4,3.2,1,0.0
4,3.4,1,0.0
4,3.6,1,0.0
4,3.8,1,0.0
4,4.0,1,0.0
5,0.8,1,0.8122523963562355
5,1.0,1,0.9330329915368074
5,1.2,1,1.0717734625362931
5,1.4,1,1.231144413344916
5,1.6,1,1.414213562373095
5,1.8,1,1.624504792712471
5,2.0,1,1.8660659830736148
5,2.2,1,1.8660659830736148
5,2.4,1,1.6245047927124714
5,2.6,1,1.414213562373095
5,2.8,1,0.0
5,3.0,1,0.0
5,3.2,1,0.0
5,3.4,1,0.0
5,3.6,1,0.0
5,3.8,1,0.0
5,4.0,1,0.0
6,0.8,1,0.8705505632961242
6,1.0,1,1.0
6,1.2,1,1.148698354997035
6,1.4,1,1.3195079107728942
6,1.6,1,1.5157165665103982
6,1.8,1,1.7411011265922485
6,2.0,1,2.0
6,2.2,1,1.7411011265922482
6,2.4,1,1.5157165665103982
6,2.6,1,1.3195079107728942
6,2.8,1,0.0
6,3.0,1,0.0
6,3.2,1,0.0
6,3.4,1,0.0
6,3.6,1,0.0
6,3.8,1,0.0
6,4.0,1,0.0
7,0.8,1,0.9330329915368074
7,1.0,1,1.0717734625362931
7,1.2,1,1.2311444133449163
7,1.4,1,1.414213562373095
7,1.6,1,1.6245047927124714
7,1.8,1,1.8660659830736148
7,2.0,1,1.8660659830736148
7,2.2,1,1.6245047927124707
7,2.4,1,1.414213562373095
7,2.6,1,1.231144413344916
7,2.8,1,0.0
7,3.0,1,0.0
7,3.2,1,0.0
7,3.4,1,0.0
7,3.6,1,0.0
7,3.8,1,0.0
7,4.0,1,0.0
8,0.8,1,1.0
8,1.0,1,1.148698354997035
8,1.2,1,1.3195079107728942
8,1.4,1,1.515716566510398
8,1.6,1,1.7411011265922485
8,1.8,1,2.0
8,2.0,1,1.7411011265922485
8,2.2,1,1.515716566510398
8,2.4,1,1.3195079107728944
8,2.6,1,1.148698354997035
8,2.8,1,0.0
8,3.0,1,0.0
8,3.2,1,0.0
8,3.4,1,0.0
8,3.6,1,0.0
8,3.8,1,0.0
8,4.0,1,0.0
9,0.8,1,1.0717734625362931
9,1.0,1,1.2311444133449163
9,1.2,1,1.414213562373095
9,1.4,1,1.624504792712471
9,1.6,1,1.8660659830736148
9,1.8,1,1.8660659830736148
9,2.0,1,1.624504792712471
9,2.2,1,1.4142135623730947
9,2.4,1,1.2311444133449163
9,2.6,1,1.0717734625362931
9,2.8,1,0.0
9,3.0,1,0.0
9,3.2,1,0.0
9,3.4,1,0.0
9,3.6,1,0.0
9,3.8,1,0.0
9,4.0,1,0.0
10,0.8,1,1.148698354997035
10,1.0,1,1.3195079107728942
10,1.2,1,1.515716566510398
10,1.4,1,1.7411011265922482
10,1.6,1,2.0
10,1.8,1,1.7411011265922485
10,2.0,1,1.5157165665103982
10,2.2,1,1.3195079107728942
10,2.4,1,1.148698354997035
10,2.6,1,1.0
10,2.8,1,0.0
10,3.0,1,0.0
10,3.2,1,0.0
10,3.4,1,0.0
10,3.6,1,0.0
10,3.8,1,0.0
10,4.0,1,0.0
11,0.8,1,1.2311444133449163
11,1.0,1,1.414213562373095
11,1.2,1,1.624504792712471
11,1.4,1,1.8660659830736148
11,1.6,1,1.8660659830736148
11,1.8,1,1.624504792712471
11,2.0,1,1.414213562373095
11,2.2,1,1.231144413344916
11,2.4,1,1.0717734625362931
11,2.6,1,0.9330329915368074
11,2.8,1,0.0
11,3.0,1,0.0
11,3.2,1,0.0
11,3.4,1,0.0
11,3.6,1,0.0
11,3.8,1,0.0
11,4.0,1,0.0
12,0.8,1,1.3195079107728944
12,1.0,1,1.5157165665103982
12,1.2,1,1.7411011265922485
12,1.4,1,2.0
12,1.6,1,1.7411011265922482
12,1.8,1,1.515716566510398
12,2.0,1,1.3195079107728942
12,2.2,1,1.1486983549970347
12,2.4,1,1.0
12,2.6,1,0.8705505632961241
12,2.8,1,0.0
12,3.0,1,0.0
12,3.2,1,0.0
12,3.4,1,0.0
12,3.6,1,0.0
12,3.8,1,0.0
12,4.0,1,0.0
13,0.8,1,1.414213562373095
13,1.0,1,1.624504792712471
13,1.2,1,1.8660659830736148
13,1.4,1,1.8660659830736148
13,1.6,1,1.624504792712471
13,1.8,1,1.414213562373095
13,2.0,1,1.2311444133449163
13,2.2,1,1.0717734625362931
13,2.4,1,0.9330329915368074
13,2.6,1,0.8122523963562355
13,2.8,1,0.0
13,3.0,1,0.0
13,3.2,1,0.0
13,3.4,1,0.0
13,3.6,1,0.0
13,3.8,1,0.0
13,4.0,1,0.0
14,0.8,1,1.5157165665103982
14,1.0,1,1.7411011265922485
14,1.2,1,2.0
14,1.4,1,1.7411011265922485
14,1.6,1,1.515716566510398
14,1.8,1,1.3195079107728942
14,2.0,1,1.148698354997035
14,2.2,1,0.9999999999999998
14,2.4,1,0.8705505632961242
14,2.6,1,0.757858283255199
14,2.8,1,0.0
14,3.0,1,0.0
14,3.2,1,0.0
14,3.4,1,0.0
14,3.6,1,0.0
14,3.8,1,0.0
14,4.0,1,0.0
15,0.8,1,1.624504792712471
15,1.0,1,1.8660659830736148
15,1.2,1,1.8660659830736148
15,1.4,1,1.6245047927124714
15,1.6,1,1.414213562373095
15,1.8,1,1.2311444133449163
15,2.0,1,1.0717734625362931
15,2.2,1,0.9330329915368074
15,2.4,1,0.8122523963562357
15,2.6,1,0.7071067811865475
15,2.8,1,0.0
15,3.0,1,0.0
15,3.2,1,0.0
15,3.4,1,0.0
15,3.6,1,0.0
15,3.8,1,0.0
15,4.0,1,0.0
16,0.8,1,1.7411011265922485
16,1.0,1,2.0
16,1.2,1,1.7411011265922485
16,1.4,1,1.5157165665103982
16,1.6,1,1.3195079107728942
16,1.8,1,1.148698354997035
16,2.0,1,1.0
16,2.2,1,0.8705505632961241
16,2.4,1,0.7578582832551991
16,2.6,1,0.6597539553864471
16,2.8,1,0.0
16,3.0,1,0.0
16,3.2,1,0.0
16,3.4,1,0.0
16,3.6,1,0.0
16,3.8,1,0.0
16,4.0,1,0.0
17,0.8,1,1.8660659830736148
17,1.0,1,1.8660659830736148
17,1.2,1,1.624504792712471
17,1.4,1,1.4142135623730951
17,1.6,1,1.231144413344916
17,1.8,1,1.0717734625362931
17,2.0,1,0.9330329915368074
17,2.2,1,0.8122523963562354
17,2.4,1,0.7071067811865475
17,2.6,1,0.615572206672458
17,2.8,1,0.0
17,3.0,1,0.0
17,3.2,1,0.0
17,3.4,1,0.0
17,3.6,1,0.0
17,3.8,1,0.0
17,4.0,1,0.0
18,0.8,1,0.0
18,1.0,1,0.0
18,1.2,1,0.0
18,1.4,1,0.0
18,1.6,1,0.0
18,1.8,1,0.0
18,2.0,1,0.0
18,2.2,1,0.0
18,2.4,1,0.0
18,2.6,1,0.0
18,2.8,1,0.0
18,3.0,1,0.0
18,3.2,1,0.0
18,3.4,1,0.0
18,3.6,1,0.0
18,3.8,1,0.0
18,4.0,1,0.0
19,0.8,1,0.0
19,1.0,1,0.0
19,1.2,1,0.0
19,1.4,1,0.0
19,1.6,1,0.0
19,1.8,1,0.0
19,2.0,1,0.0
19,2.2,1,0.0
19,2.4,1,0.0
